date_range,coin,direction,leverage,volume_with_leverage,margin,unrealized_pnl,fee,funding,pnl,pnl_percent,duration
10.08.2025 - 15.08.2025,BTC,Short,x1,634116,634116,4727,429,1152,3146,0.004961237376,106h44m
15.08.2025 - 17.08.2025,ETH,Long,x1,813039,813039,9792,489,-302,9798,0.01205108242,42h14m
18.08.2025 - 23.08.2025,HYPE,Long,x2,1061282,530641,40577,356,-3032,43253,0.08151085197,115h57m
25.08.2025 - 27.08.2025,BTC,Long,x3,1792951,597650,29141,980,-628,28789,0.04817033381,35h6m
28.08.2025 - 29.08.2025,SOL,Short,x3,900966,300322,19711,422,157,19132,0.06370495668,13h13m
29.08.2025 - 02.09.2025,BTC,Long,x3,1967214,655738,23640,1121,-1724,25040,0.03818598282,85h25m
08.09.2025 - 09.09.2025,SOL,Short,x3,1905741,635247,36275,1275,987,34013,5.35%,27h50m
10.09.2025 - 10.09.2025,SOL,Short,x3,1545059,515019,15294,982,51,14261,2.77%,2h30m
11.09.2025 - 22.09.2025,SOL,Short,x3,2441866,813955,90460,1080,10892,78488,9.64%,276h59m
22.09.2025 - 02.10.2025,HYPE,Long,x2,2137989,1068994,123594,714,-14689,137569,12.87%,233h2m
02.10.2025 - 10.10.2025,BTC,Short,x2,3147206,1573603,57042,1036,8571,56006,3.56%,192h7m
07.10.2025 - 26.10.2025,HYPE,Long,x2,2661659,1330829,153670,950,-3848,152720,11.48%,453h14m
05.12.2025 - 08.12.2025,ETH,Long,x25,1441462,57659,53676,741,-775,52935,91.81%,65h37m
09.12.2025 - 12.12.2025,HYPE,Long,x10,2377806,237780,63708,548,-827,63160,26.56%,65h37m
12.12.2025 - 13.12.2025,ETH,Long,x25,1999903,79997,16671,1394,-580,15277,19.10%,23h24m
15.12.2015 - 06.01.2026,SOL,Long,х20,2000000,100000,96757,986,-8703,95771,95.77%,519h44m
